A
,1,2,3
mean,0.31776985037103994,0.5619073555616072,0.7923892590401309
median,0.3371941504550978,0.554826634922265,0.7820701726178351
std,0.097919284734972,0.06951695193804364,0.06388016391965468
iqr,0.14081860766445264,0.11471526131886689,0.09999686648344841
